University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
1,University of Oxford,United Kingdom,20965,10.6,42%,48:52:00,96.4,92.3,99.7,99.0,74.9,96.2,51.453035935471505,-0.8482184608897912,Europe
2,Harvard University,United States,21887,9.6,25%,50:50:00,95.2,94.8,99.0,99.3,49.5,80.5,42.311553871621236,-70.7914501657885,North America
3,University of Cambridge,United Kingdom,20185,11.3,39%,47:53:00,94.8,90.9,99.5,97.0,54.2,95.8,52.2399026263117,0.4571286874242505,Europe
3,Stanford University,United States,16164,7.1,24%,46:54:00,94.8,94.2,96.7,99.8,65.0,79.8,37.344974222954754,-122.41478194217791,North America
5,Massachusetts Institute of Technology,United States,11415,8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,42.73612074941966,-71.14756077664339,North America
6,California Institute of Technology,United States,2237,6.2,34%,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,33.75697873618035,-118.60245202136969,North America
7,Princeton University,United States,8279,8.0,23%,46:54:00,92.4,87.6,95.9,99.1,66.0,80.3,39.94191980906645,-74.20959822753147,North America
8,"University of California, Berkeley",United States,40921,18.4,24%,52:48:00,92.1,86.4,95.8,99.0,76.8,78.4,37.81758725068798,-122.289636337597,North America
9,Yale University,United States,13482,5.9,21%,52:48:00,91.4,92.6,92.7,97.0,55.0,70.9,41.63239926071286,-72.47109661019562,North America
10,Imperial College London,United Kingdom,18545,11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,51.37758806869684,-0.12734861794873215,Europe
11,Columbia University,United States,21781,4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9,40.58983084937997,-73.52108730287311,North America
11,ETH Zurich,Switzerland,21665,14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,47.47457760911134,9.043757572843061,Europe
13,The University of Chicago,United States,15366,6.0,36%,47:53:00,88.9,86.5,88.8,97.7,56.2,74.2,42.17600914929234,-87.33702556956972,North America
14,University of Pennsylvania,United States,21453,6.3,23%,53:47:00,88.8,86.0,88.8,97.0,75.8,71.5,40.12429183876911,-75.50876634923104,North America
15,Johns Hopkins University,United States,17584,4.7,29%,53:47:00,88.3,79.4,91.5,97.0,89.5,75.3,38.8621874401801,-76.1549845532555,North America
16,Tsinghua University,China,38324,11.6,10%,,88.2,90.1,97.4,88.0,100.0,40.3,39.55066145401559,116.19827445110437,Asia
17,Peking University,China,31994,10.3,19%,,88.1,92.5,96.7,80.4,91.8,65.0,39.606622681987304,116.7975062076715,Asia
18,University of Toronto,Canada,77468,25.8,26%,56:44:00,87.4,77.3,93.3,92.8,65.5,89.7,43.84872230219163,-78.9461429178671,North America
19,National University of Singapore,Singapore,32337,19.8,25%,51:49:00,87.1,76.4,93.0,90.2,87.0,94.0,1.7531504864419647,103.91065791006461,Asia
20,Cornell University,United States,24027,10.3,26%,51:49:00,85.9,80.2,86.1,97.3,40.4,76.9,41.98132085737307,-76.12005720330656,North America
21,"University of California, Los Angeles",United States,42434,9.7,16%,56:44:00,85.8,80.4,88.9,95.4,58.8,65.0,34.423863686175956,-118.26034437790013,North America
22,UCL,United Kingdom,36790,10.3,60%,59:41:00,85.7,74.5,85.4,97.9,44.5,96.7,51.66407195201492,-0.12924427350345014,Europe
23,University of Michigan-Ann Arbor,United States,45912,8.2,17%,50:50:00,82.9,79.3,84.6,93.6,48.7,59.2,41.798452292208275,-83.95931654445032,North America
24,New York University,United States,36337,9.8,42%,57:43:00,82.7,74.2,84.0,95.0,44.6,74.7,40.933672454347786,-74.18576692493393,North America
25,Duke University,United States,16091,4.2,24%,52:48:00,82.6,78.1,76.2,95.7,99.6,68.0,36.09150220657668,-78.99449637207711,North America
26,Northwestern University,United States,19175,13.2,20%,51:49:00,82.1,71.7,80.7,97.5,85.0,67.0,42.34772291422418,-87.44554833931342,North America
