University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
90,Sorbonne University,France,41443,13.9,0.21,59:41:00,64.5,58.7,58.3,76.6,40.0,72.3,48.58156171630037,2.3772692090618555,Europe
91,Free University of Berlin,Germany,26497,41.9,0.23,62:38:00,64.2,54.2,62.4,74.8,41.7,76.4,52.63466729137443,13.551674603118691,Europe
91,Korea Advanced Institute of Science and Technology (KAIST),South Korea,9946,10.7,0.09,0.929861111,64.2,64.5,66.0,65.7,100.0,38.2,36.37486881258177,127.15501262388942,Asia
93,Université Paris-Saclay,France,44443,14.9,0.19,49:51:00,63.9,56.7,55.2,79.1,54.6,69.7,48.998527824078266,2.3425286429294427,Europe
94,University of Bern,Switzerland,11728,17.2,0.17,58:42:00,63.7,46.0,46.5,90.7,86.3,88.2,46.68392389505471,7.343547644200039,Europe
95,"University of California, Irvine",United States,36655,16.9,0.28,52:48:00,63.6,43.5,51.6,93.6,59.4,73.2,33.5368634868572,-118.04780037350662,North America
95,Institut Polytechnique de Paris,France,5999,6.7,0.41,24 : 76,63.6,58.5,58.8,64.8,72.7,95.6,48.634022062886544,1.982587770385074,Europe
95,Nanjing University,China,36426,16.5,0.08,54:46:00,63.6,58.4,58.2,74.3,87.3,55.2,32.04313858163563,118.63959476215678,Asia
98,Vanderbilt University,United States,12696,3.8,0.15,55:45:00,63.5,49.5,47.5,96.5,66.7,50.6,36.20741209759529,-86.72119250468396,North America
99,City University of Hong Kong,Hong Kong,9099,12.1,0.62,54:46:00,63.4,47.2,53.0,79.9,76.6,99.6,22.31281504835285,114.32988249330587,Asia
99,RWTH Aachen University,Germany,39738,50.0,0.28,33 : 67,63.4,56.8,64.5,66.1,93.8,65.1,50.73119060881731,5.9071484124444105,Europe
