University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
1,University of Oxford,United Kingdom,20965,10.6,42%,48:52:00,96.4,92.3,99.7,99.0,74.9,96.2,51.643681122389175,-1.1590570701927392,Europe
2,Harvard University,United States,21887,9.6,25%,50:50:00,95.2,94.8,99.0,99.3,49.5,80.5,43.10784764959419,-71.65680208496687,North America
3,University of Cambridge,United Kingdom,20185,11.3,39%,47:53:00,94.8,90.9,99.5,97.0,54.2,95.8,52.90664221509686,0.8901638678939412,Europe
3,Stanford University,United States,16164,7.1,24%,46:54:00,94.8,94.2,96.7,99.8,65.0,79.8,37.618702560686714,-121.22203571430353,North America
5,Massachusetts Institute of Technology,United States,11415,8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,43.33233556876869,-71.83687070416362,North America
6,California Institute of Technology,United States,2237,6.2,34%,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,34.53591287186358,-118.55464234050586,North America
7,Princeton University,United States,8279,8.0,23%,46:54:00,92.4,87.6,95.9,99.1,66.0,80.3,40.53412544209482,-75.00344176644953,North America
8,"University of California, Berkeley",United States,40921,18.4,24%,52:48:00,92.1,86.4,95.8,99.0,76.8,78.4,38.482182116661534,-122.52380634403245,North America
9,Yale University,United States,13482,5.9,21%,52:48:00,91.4,92.6,92.7,97.0,55.0,70.9,42.252592288323235,-73.34771504586851,North America
10,Imperial College London,United Kingdom,18545,11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,51.25666792563291,-0.729594839819576,Europe
11,Columbia University,United States,21781,4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9,41.61523836000559,-74.45691774861673,North America
11,ETH Zurich,Switzerland,21665,14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,46.517819073312396,9.179222536966211,Europe
13,The University of Chicago,United States,15366,6.0,36%,47:53:00,88.9,86.5,88.8,97.7,56.2,74.2,41.407939305669245,-88.49034879934628,North America
14,University of Pennsylvania,United States,21453,6.3,23%,53:47:00,88.8,86.0,88.8,97.0,75.8,71.5,40.122369540055004,-75.16180236523932,North America
15,Johns Hopkins University,United States,17584,4.7,29%,53:47:00,88.3,79.4,91.5,97.0,89.5,75.3,39.7060691501628,-76.97440019520937,North America
16,Tsinghua University,China,38324,11.6,10%,,88.2,90.1,97.4,88.0,100.0,40.3,40.84633393249921,115.6764411588778,Asia
17,Peking University,China,31994,10.3,19%,,88.1,92.5,96.7,80.4,91.8,65.0,40.91465731070626,116.48039295861791,Asia
18,University of Toronto,Canada,77468,25.8,26%,56:44:00,87.4,77.3,93.3,92.8,65.5,89.7,43.277365287849214,-79.8605600514898,North America
19,National University of Singapore,Singapore,32337,19.8,25%,51:49:00,87.1,76.4,93.0,90.2,87.0,94.0,2.1966647016501923,104.35858589340191,Asia
20,Cornell University,United States,24027,10.3,26%,51:49:00,85.9,80.2,86.1,97.3,40.4,76.9,42.103100200507775,-76.36148766568903,North America
21,"University of California, Los Angeles",United States,42434,9.7,16%,56:44:00,85.8,80.4,88.9,95.4,58.8,65.0,34.271718688222286,-117.68830773061505,North America
22,UCL,United Kingdom,36790,10.3,60%,59:41:00,85.7,74.5,85.4,97.9,44.5,96.7,51.5406185195046,-0.1708914475478206,Europe
23,University of Michigan-Ann Arbor,United States,45912,8.2,17%,50:50:00,82.9,79.3,84.6,93.6,48.7,59.2,42.854332014649614,-83.48267554359317,North America
24,New York University,United States,36337,9.8,42%,57:43:00,82.7,74.2,84.0,95.0,44.6,74.7,41.23398758583201,-73.57774717159857,North America
