x_fit,y_fit
3.8,71.53960432661191
4.2,71.26754684227716
4.2,71.26754684227716
4.7,70.92747498685871
5.9,70.11130253385446
6.0,70.04328816277076
6.3,69.8392450495197
7.1,69.2951300808502
7.8,68.81902948326437
7.9,68.75101511218068
8.0,68.683000741097
8.2,68.54697199892962
9.6,67.59477080375798
9.7,67.5267564326743
9.8,67.45874206159061
9.9,67.39072769050692
10.3,67.11867020617217
10.3,67.11867020617217
10.6,66.91462709292111
10.8,66.77859835075373
10.8,66.77859835075373
11.3,66.43852649533528
11.3,66.43852649533528
11.5,66.30249775316791
11.8,66.09845463991684
11.8,66.09845463991684
11.9,66.03044026883316
11.9,66.03044026883316
12.1,65.89441152666578
12.5,65.62235404233103
12.6,65.55433967124733
12.9,65.35029655799627
13.1,65.21426781582889
13.2,65.14625344474521
13.5,64.94221033149414
13.5,64.94221033149414
13.7,64.80618158932677
13.9,64.67015284715939
14.2,64.46610973390833
14.5,64.26206662065727
14.6,64.19405224957357
14.6,64.19405224957357
14.7,64.12603787848988
14.9,63.990009136322506
15.0,63.92199476523882
15.1,63.85398039415513
16.5,62.9017791989835
16.9,62.629721714648745
17.1,62.49369297248137
17.2,62.42567860139768
17.4,62.2896498592303
17.4,62.2896498592303
18.0,61.881563632728174
18.2,61.7455348905608
18.4,61.60950614839342
18.6,61.47347740622604
18.9,61.26943429297498
19.0,61.201419921891286
19.3,60.997376808640226
19.8,60.65730495322178
23.8,57.936730109874254
24.4,57.528643883372126
25.8,56.57644268820049
27.5,55.42019837977779
28.5,54.7400546689409
28.9,54.46799718460615
29.0,54.39998281352246
32.8,51.81543671234231
33.9,51.06727863042174
34.2,50.86323551717067
34.2,50.86323551717067
36.3,49.43493372441323
36.5,49.298904982245844
41.9,45.62612894372668
42.5,45.21804271722455
47.5,41.817324163040134
