University,Name,Location,Nostudent,Nostudentperstaff,InternationalStudent,FemaleMaleRatio,OverAllScore,TeachingScore,ResearchScore,CitationsScore,IndustryIncomeScore,InternationalOutlookScore,Latitude,Longitude,Continent
1,University of Oxford,United Kingdom,20965,10.6,42%,48:52:00,96.4,92.3,99.7,99.0,74.9,96.2,52.13496580376015,-1.0551079044689966,Europe
2,Harvard University,United States,21887,9.6,25%,50:50:00,95.2,94.8,99.0,99.3,49.5,80.5,42.86001281983946,-70.75745793760152,North America
3,University of Cambridge,United Kingdom,20185,11.3,39%,47:53:00,94.8,90.9,99.5,97.0,54.2,95.8,51.71974121632387,0.4844680024030513,Europe
3,Stanford University,United States,16164,7.1,24%,46:54:00,94.8,94.2,96.7,99.8,65.0,79.8,37.34976445315062,-122.59983152935973,North America
5,Massachusetts Institute of Technology,United States,11415,8.2,33%,40 : 60,94.2,90.7,93.6,99.8,90.9,89.3,42.684465729728544,-71.18208201423025,North America
6,California Institute of Technology,United States,2237,6.2,34%,37 : 63,94.1,90.9,97.0,97.3,89.8,83.6,33.870886698087226,-118.39086446051179,North America
7,Princeton University,United States,8279,8.0,23%,46:54:00,92.4,87.6,95.9,99.1,66.0,80.3,40.66660314437076,-74.48489167320726,North America
8,"University of California, Berkeley",United States,40921,18.4,24%,52:48:00,92.1,86.4,95.8,99.0,76.8,78.4,38.27694321637744,-122.18883566168358,North America
9,Yale University,United States,13482,5.9,21%,52:48:00,91.4,92.6,92.7,97.0,55.0,70.9,41.4488565579133,-72.6563364981242,North America
10,Imperial College London,United Kingdom,18545,11.2,61%,40 : 60,90.4,82.8,90.8,98.3,59.8,97.5,51.48585669376201,-0.501421675309804,Europe
11,Columbia University,United States,21781,4.5,38%,,89.4,89.4,87.7,97.1,44.8,79.9,40.651927044393254,-73.51904170014451,North America
11,ETH Zurich,Switzerland,21665,14.8,41%,33 : 67,89.4,82.6,95.4,90.7,59.1,97.7,47.7050026862653,8.235704059272086,Europe
13,The University of Chicago,United States,15366,6.0,36%,47:53:00,88.9,86.5,88.8,97.7,56.2,74.2,42.209519751255165,-87.82331398466569,North America
14,University of Pennsylvania,United States,21453,6.3,23%,53:47:00,88.8,86.0,88.8,97.0,75.8,71.5,40.24839972851822,-75.64740242499722,North America
15,Johns Hopkins University,United States,17584,4.7,29%,53:47:00,88.3,79.4,91.5,97.0,89.5,75.3,39.62081548541165,-76.56947502914275,North America
16,Tsinghua University,China,38324,11.6,10%,,88.2,90.1,97.4,88.0,100.0,40.3,40.38023005559483,115.92230760906153,Asia
17,Peking University,China,31994,10.3,19%,,88.1,92.5,96.7,80.4,91.8,65.0,40.063720994938606,116.60043640935471,Asia
18,University of Toronto,Canada,77468,25.8,26%,56:44:00,87.4,77.3,93.3,92.8,65.5,89.7,43.26225572012261,-78.97256581213578,North America
19,National University of Singapore,Singapore,32337,19.8,25%,51:49:00,87.1,76.4,93.0,90.2,87.0,94.0,1.6811194846995576,104.04161579317649,Asia
20,Cornell University,United States,24027,10.3,26%,51:49:00,85.9,80.2,86.1,97.3,40.4,76.9,42.933223421872874,-76.01308812156246,North America
21,"University of California, Los Angeles",United States,42434,9.7,16%,56:44:00,85.8,80.4,88.9,95.4,58.8,65.0,34.28545007313939,-118.47047017904296,North America
22,UCL,United Kingdom,36790,10.3,60%,59:41:00,85.7,74.5,85.4,97.9,44.5,96.7,51.99357621575823,-0.11692136490736671,Europe
23,University of Michigan-Ann Arbor,United States,45912,8.2,17%,50:50:00,82.9,79.3,84.6,93.6,48.7,59.2,42.72390849635155,-83.5106231759912,North America
24,New York University,United States,36337,9.8,42%,57:43:00,82.7,74.2,84.0,95.0,44.6,74.7,40.56395033481531,-74.27280822591163,North America
25,Duke University,United States,16091,4.2,24%,52:48:00,82.6,78.1,76.2,95.7,99.6,68.0,36.17796167036329,-78.50344724055098,North America
26,Northwestern University,United States,19175,13.2,20%,51:49:00,82.1,71.7,80.7,97.5,85.0,67.0,41.67833300047872,-87.8169366682419,North America
26,University of Washington,United States,47727,10.8,18%,55:45:00,82.1,71.6,82.8,98.9,53.9,63.0,47.40100480710979,-121.97412598333281,North America
28,Carnegie Mellon University,United States,14305,12.9,47%,44:56:00,81.1,65.4,81.8,98.7,55.2,80.1,40.241852566004646,-79.60914963514567,North America
