x_fit,y_fit
3.8,79.13858844053698
4.2,78.71653569724832
4.2,78.71653569724832
4.5,78.39999613978183
4.7,78.1889697681375
5.9,76.92281153827152
6.0,76.81729835244934
6.2,76.60627198080502
6.3,76.50075879498286
7.1,75.65665330840552
7.8,74.91806100765038
7.9,74.8125478218282
8.0,74.70703463600604
8.2,74.4960082643617
8.2,74.4960082643617
9.6,73.01882366285139
9.7,72.91331047702923
9.8,72.80779729120707
10.0,72.59677091956273
10.1,72.49125773374057
10.3,72.28023136209623
10.8,71.75266543298541
10.8,71.75266543298541
11.3,71.22509950387459
12.5,69.9589412740086
12.6,69.85342808818643
12.9,69.53688853071993
13.1,69.32586215907561
13.2,69.22034897325344
16.9,65.31636109783332
17.4,64.7887951687225
17.4,64.7887951687225
18.4,63.733663310500845
18.9,63.20609738139002
24.7,57.086332603704435
25.8,55.92568755966061
28.5,53.076831542462145
29.0,52.549265613351324
