x_fit,y_fit
3.8,72.81150160971953
4.2,72.56402767208797
4.2,72.56402767208797
4.5,72.37842221886432
4.7,72.25468525004854
5.9,71.51226343715388
6.0,71.450394952746
6.2,71.32665798393022
6.3,71.26478949952232
6.7,71.01731556189078
7.1,70.76984162425923
7.8,70.336762233404
7.9,70.27489374899612
8.0,70.21302526458823
8.1,70.15115678018034
8.2,70.08928829577246
8.2,70.08928829577246
9.2,69.47060345169358
9.6,69.22312951406202
9.7,69.16126102965414
9.8,69.09939254524625
9.9,69.03752406083836
10.0,68.97565557643047
10.1,68.91378709202259
10.3,68.79005012320681
10.3,68.79005012320681
10.3,68.79005012320681
10.5,68.66631315439103
10.6,68.60444466998314
10.7,68.54257618557526
10.8,68.48070770116736
10.8,68.48070770116736
11.2,68.23323376353582
11.3,68.17136527912793
11.3,68.17136527912793
11.5,68.04762831031215
11.6,67.98575982590427
11.8,67.86202285708849
11.8,67.86202285708849
11.9,67.8001543726806
11.9,67.8001543726806
12.0,67.73828588827271
12.1,67.67641740386482
12.3,67.55268043504904
12.5,67.42894346623326
12.6,67.36707498182538
12.9,67.18146952860172
13.1,67.05773255978595
13.2,66.99586407537805
13.5,66.8102586221544
13.5,66.8102586221544
13.7,66.68652165333862
13.9,66.56278468452284
14.2,66.37717923129918
14.5,66.19157377807551
14.6,66.12970529366763
14.6,66.12970529366763
14.7,66.06783680925973
14.8,66.00596832485185
14.9,65.94409984044395
15.0,65.88223135603607
15.1,65.82036287162818
15.1,65.82036287162818
16.1,65.20167802754929
16.5,64.95420408991775
16.9,64.7067301522862
17.1,64.58299318347042
17.2,64.52112469906253
17.4,64.39738773024675
17.4,64.39738773024675
18.0,64.02617682379943
18.2,63.902439854983655
18.4,63.77870288616788
18.6,63.6549659173521
18.9,63.469360464128435
19.0,63.40749197972055
19.0,63.40749197972055
19.3,63.22188652649688
19.8,62.91254410445744
21.0,62.170122291562784
23.8,60.43780472814192
24.4,60.06659382169459
24.7,59.88098836847092
25.8,59.20043503998416
27.5,58.14867080505006
28.5,57.52998596097118
28.9,57.28251202333963
29.0,57.22064353893174
32.8,54.86964113143199
33.9,54.189087802945224
34.2,54.00348234972156
34.2,54.00348234972156
36.3,52.704244177155914
36.5,52.58050720834014
40.6,50.04389934761673
41.9,49.239609050314186
42.5,48.868398143866855
47.5,45.774973923472444
50.0,44.228261813275246
53.2,42.24847031222283
