rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
86,University of St Andrews,8340,12.7,47,56,60.4,49.7,47.3,78.8,30.6,92.3,"College Gate, St. Andrews, Fife, KY16 9AJ, United Kingdom",,,,,United Kingdom
87,Vanderbilt University,12161,3.6,9,52,60.1,47.8,44.2,95.7,63.2,29.1,"Nashville, Tennessee, 37240, United States",,,,,United States
 =88,Kyoto University,22809,5.6,7,,59.9,70.6,69.3,46.6,79,26.1,"Yoshida-honmachi, Sakyo-ku, Kyoto, 606-8501, Japan",,,,,Japan
 =88,Maastricht University,15626,18.9,48,56,59.9,37.5,47.7,82.7,95.4,95.5,"Postbus 616, Maastricht, 6200 MD, Netherlands",,,,,Netherlands
 =90,Emory University,12338,4.5,18,56,59.7,48.3,37.1,96.7,48.9,51,"201 Dowman Drive, Atlanta, Georgia, 30322, United States",,,,,United States
 =90,Lund University,28251,11.5,15,,59.7,39.7,53.6,81.3,70.4,74.1,"Box 117, 221 00 Lund, Sweden",,,,,Sweden
 =90,Ohio State University (Main campus),51462,13.4,12,49,59.7,51.6,46.6,83.2,53.1,53,"281 W. Lane Ave, Columbus, Ohio, 43210, United States",,,,,United States
93,University of Exeter,17755,18.8,28,54,59.5,39.4,40,94.3,31.9,87.3,"Stocker Road, Exeter, Devon, EX4 4PY, United Kingdom",,,,,United Kingdom
 =94,University of Bonn,32474,70.4,12,55,58.8,45.1,47.5,85.3,-,63.6,"Regina Pacis Weg 3, D-53012 Bonn, Germany",,,,,Germany
 =94,Georgetown University,15408,8.5,14,53,58.8,54.4,39.3,82.5,80.7,52.7,"37th and O Streets, North West, District of Columbia, 20057, United States",,,,,United States
 =94,McMaster University,23823,19.3,15,53,58.8,39.8,44.8,84.9,88,76.1,"1280 Main Street West, Hamilton, Ontario, L8S 4L8, Canada",,,,,Canada
97,University of Sheffield,23310,15.4,31,50,58.6,42.4,48.8,80.1,43.4,81.9,"Western Bank, Sheffield, South Yorkshire, S10 2TN, United Kingdom",,,,,United Kingdom
98,Queen Mary University of London,14260,14.0,40,52,58.5,34.1,41.3,93.3,36.8,93.5,"QMUL Accounts Payable, PO Box 68942, London, E1W 9JD, United Kingdom",,,,,United Kingdom
 =99,University of Göttingen,25581,25.6,12,51,58,49.3,54.5,72.7,31.8,56.4,"Wilhelmsplatz, 37073 Göttingen, Germany",,,,,Germany
 =99,Michigan State University,44750,15.7,15,51,58,47.3,52.6,76.8,32.2,56.4,"220 Trowbridge Rd, East Lansing, Michigan, 48824, United States",,,,,United States
